mandi,distance_km_from_kopargaon,adat_pct,hamali_per_qtl,tolai_per_qtl,source,verified
KOPARGAON,0,4.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO
RAHATA,20,4.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO
SANGAMNER,35,4.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO
LASALGAON,45,5.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO
LASALGAON(NIPHAD),48,5.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO
LASALGAON(VINCHUR),50,5.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO
PIMPALGAON BASWANT,55,5.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO
PIMPALGAON BASWANT(SAYKHEDA),58,5.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO
YEOLA,42,4.5,8,3,ASSUMED - typical Maharashtra APMC rates,NO
MANMAD,55,4.5,8,3,ASSUMED - typical Maharashtra APMC rates,NO
NANDGAON,60,4.5,8,3,ASSUMED - typical Maharashtra APMC rates,NO
VAIJAPUR,70,4.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO
