mandi,date,price_per_qtl,distance_km_from_kopargaon,adat_pct,hamali_per_qtl,tolai_per_qtl,source,verified,gross,adat_cost,hamali_cost,tolai_cost,transport_cost,total_deductions,net,net_per_qtl,rank_by_net,rank_by_gross,rank_jump
PIMPALGAON BASWANT,2026-05-05,1200.0,55,5.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,48000.0,2400.0,320,120,4400.0,7240.0,40760.0,1019.0,1,1,0
LASALGAON,2026-05-05,1150.0,45,5.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,46000.0,2300.0,320,120,3600.0,6340.0,39660.0,991.5,2,2,0
KOPARGAON,2026-04-25,1008.1321306401268,0,4.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,40325.28522560507,1613.0114090242027,320,120,0.0,2053.0114090242027,38272.27381658086,956.8068454145216,3,7,4
LASALGAON(NIPHAD),2026-05-05,1100.0,48,5.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,44000.0,2200.0,320,120,3840.0,6480.0,37520.0,938.0,4,3,-1
LASALGAON(VINCHUR),2026-05-05,1100.0,50,5.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,44000.0,2200.0,320,120,4000.0,6640.0,37360.0,934.0,5,4,-1
YEOLA,2026-05-04,1025.0,42,4.5,8,3,ASSUMED - typical Maharashtra APMC rates,NO,41000.0,1845.0,320,120,3360.0,5645.0,35355.0,883.875,6,6,0
MANMAD,2026-05-05,1025.0,55,4.5,8,3,ASSUMED - typical Maharashtra APMC rates,NO,41000.0,1845.0,320,120,4400.0,6685.0,34315.0,857.875,7,5,-2
PIMPALGAON BASWANT(SAYKHEDA),2026-05-05,980.0,58,5.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,39200.0,1960.0,320,120,4640.0,7040.0,32160.0,804.0,8,8,0
SANGAMNER,2026-05-05,838.0,35,4.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,33520.0,1340.8,320,120,2800.0,4580.8,28939.2,723.48,9,10,1
RAHATA,2026-04-24,800.0,20,4.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,32000.0,1280.0,320,120,1600.0,3320.0,28680.0,717.0,10,11,1
NANDGAON,2026-05-04,850.0,60,4.5,8,3,ASSUMED - typical Maharashtra APMC rates,NO,34000.0,1530.0,320,120,4800.0,6770.0,27230.0,680.75,11,9,-2
VAIJAPUR,2026-05-05,800.0,70,4.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,32000.0,1280.0,320,120,5600.0,7320.0,24680.0,617.0,12,12,0
