mandi,date,price_per_qtl,distance_km_from_kopargaon,adat_pct,hamali_per_qtl,tolai_per_qtl,source,verified,gross,adat_cost,hamali_cost,tolai_cost,transport_cost,total_deductions,net,net_per_qtl,rank_by_net,rank_by_gross,breakeven_per_qtl,margin_per_qtl,total_profit,is_profitable
PIMPALGAON BASWANT,2026-05-05,1200.0,72,5.0,8,3,Google Maps (verified),YES-distance only,48000.0,2400.0,320,120,5760.0,8600.0,39400.0,985.0,1,1,750.0,235.0,9400.0,True
LASALGAON,2026-05-05,1150.0,50,5.0,8,3,Google Maps (verified),YES-distance only,46000.0,2300.0,320,120,4000.0,6740.0,39260.0,981.5,2,2,750.0,231.5,9260.0,True
KOPARGAON,2026-04-25,1008.1321306401268,0,4.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,40325.28522560507,1613.0114090242027,320,120,0.0,2053.0114090242027,38272.27381658086,956.8068454145216,3,7,750.0,206.8068454145216,8272.273816580864,True
LASALGAON(NIPHAD),2026-05-05,1100.0,53,5.0,8,3,ASSUMED - near Lasalgaon,NO,44000.0,2200.0,320,120,4240.0,6880.0,37120.0,928.0,4,3,750.0,178.0,7120.0,True
YEOLA,2026-05-04,1025.0,20,4.5,8,3,Google Maps (verified),YES-distance only,41000.0,1845.0,320,120,1600.0,3885.0,37115.0,927.875,5,6,750.0,177.875,7115.0,True
LASALGAON(VINCHUR),2026-05-05,1100.0,55,5.0,8,3,ASSUMED - near Lasalgaon,NO,44000.0,2200.0,320,120,4400.0,7040.0,36960.0,924.0,6,4,750.0,174.0,6960.0,True
MANMAD,2026-05-05,1025.0,45,4.5,8,3,Google Maps (verified),YES-distance only,41000.0,1845.0,320,120,3600.0,5885.0,35115.0,877.875,7,5,750.0,127.875,5115.0,True
PIMPALGAON BASWANT(SAYKHEDA),2026-05-05,980.0,75,5.0,8,3,ASSUMED - near Pimpalgaon Baswant,NO,39200.0,1960.0,320,120,6000.0,8400.0,30800.0,770.0,8,8,750.0,20.0,800.0,True
RAHATA,2026-04-24,800.0,20,4.0,8,3,Google Maps (verified),YES-distance only,32000.0,1280.0,320,120,1600.0,3320.0,28680.0,717.0,9,11,750.0,-33.0,-1320.0,False
NANDGAON,2026-05-04,850.0,50,4.5,8,3,ASSUMED - near Manmad,NO,34000.0,1530.0,320,120,4000.0,5970.0,28030.0,700.75,10,9,750.0,-49.25,-1970.0,False
SANGAMNER,2026-05-05,838.0,54,4.0,8,3,Google Maps (verified),YES-distance only,33520.0,1340.8,320,120,4320.0,6100.8,27419.2,685.48,11,10,750.0,-64.51999999999998,-2580.7999999999993,False
VAIJAPUR,2026-05-05,800.0,70,4.0,8,3,ASSUMED - typical Maharashtra APMC rates,NO,32000.0,1280.0,320,120,5600.0,7320.0,24680.0,617.0,12,12,750.0,-133.0,-5320.0,False
